Site ID,Treatment,Time since fire,dNBR severity,Field severity,Pre-fire forest management,Post-fire forest management,Field comments,TSF,dNBR,field_severity,pre_harvested,pre_planted,pre_site_prep,pre_thinned,pre_brushed,post_harvested,post_planted,post_site_prep,post_thinned,post_piled,post_burned,any_pre_management,any_post_management,post_disturbance_intensity,management_class
FR11,NR,37,NA,Moderate,"","","",37,,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR12,NR,16,High,moderate-high,"","","According to RESULTS there was mechanical site prep (2014, 2015), planted (2016, 2018). No planting notes in field data. Site appears outside preparation/management boundaries in satellite imagery.",16,High,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR13,P,16,High,Moderate,"","Mechanical site prep (2014, 2015), planted (2016, 2018)",Trees knocked down and pile and burned throughout site.,16,High,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,High,Post-fire only
FR14,NR,6,unburned,High,Mechanical site prep and planted (1995),"","Removed site from analyses because re-burn (1991, 2014)",6,unburned,High,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Low,Pre-fire only
FR15,NR,29,High,Moderate,Mechanical site prep and planted (1995),"","Removed site from analyses because re-burn (1991, 2014)",29,High,Moderate,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Low,Pre-fire only
FR16,P,29,unburned,Low,"","Harvested, mechanical site prep, planted (1992), fill-planted (2000) ",Most CWD removed.,29,unburned,Low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR17,P,29,High,low-moderate,"",Mechanical site prep and planted (1995),"Slash piles in long skinny rows perpendicular to the road, ~30m between slash piles.",29,High,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,High,Post-fire only
FR18,NR,10,moderate,Low,"","","According to RESULTS; Immature forest at time of fire (harvested (2001, 2002), planted (2001-2003), chemical application from ground (2005). Satellite imagery shows that site was not harvested (just around site was).",10,moderate,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR19,P,37,NA,Low,"","",No RESULTS information but appears cleared post-fire on satellite imagery. No CWD remaining but stumps left. Possible juvenile spacing.,37,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR20,NR,37,NA,low-moderate,"",Thinned (2002),"",37,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Low,Post-fire only
FR21,P,10,unburned,Moderate,"Immature forest at time of fire. Harvested (2002), planted (2004).",Planted (2012),"Trees cleared, CWD removed and planted.",10,unburned,Moderate,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Moderate,Pre + Post fire
FR22,NR,59,NA,low-moderate,"","","",59,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR23,P,59,NA,low-moderate,"","Burned and mechanical site prep (1983), chemical application from ground (1985), planted (1987, 1991)","CWD and stumps removed, soil disturbance from machines.",59,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR24,P,16,moderate,low-moderate,"",Planted (2011),Trees left standing.,16,moderate,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Moderate,Post-fire only
FR25,P,16,moderate,moderate-high,"Immature forest at time of fire. Harvested (1991), planted (2001).",Planted (2005).,"",16,moderate,moderate-high,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Moderate,Pre + Post fire
FR26,NR,16,moderate,Low,"","","",16,moderate,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR27,P,16,unburned,Low,"Immature forest at time of fire. Harvested (1989), mechanical site prep (1990), fill-planted (1997), chemical application from air (2000)",Planted (2005),Only legacy CWD and stumps remain.,16,unburned,Low,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Moderate,Pre + Post fire
FR28,NR,16,moderate,low-moderate,"","","RESULTS says planted (2011) but appears naturally-regenerating, no sign of forest management.",16,moderate,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR29,NR,16,moderate,low-moderate,"","","RESULTS says planted (2011) but appears naturally-regenerating, no sign of forest management.",16,moderate,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR30,NR,10,unburned,moderate-high,"","","Burned twice (1961, 2010)",10,unburned,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Low,No management
FR31,P,10,unburned,moderate-high,"Immature forest at time of fire. Harvested (2009), planted (2010).",Planted (2014).,Very little CWD remaining.,10,unburned,moderate-high,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Moderate,Pre + Post fire
FR32,P,10,Low,Moderate,"Immature forest at time of fire. Harvested (2003), mechanical site prep (2004), planted (2005).",Planted (2014).,"",10,Low,Moderate,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Moderate,Pre + Post fire
FR33,P,10,moderate,Moderate,"","Harvested (2013), planted (2015).",Pile and burned.,10,moderate,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,High,Post-fire only
FR34,NR,10,unburned,Low,"Immature forest at time of fire. Harvested and mechanical site prep (1995), planted (1996).","","",10,unburned,Low,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Low,Pre-fire only
FR35,NR,10,moderate,moderate-high,"","","RESULTS says planted (2016) but appears naturally-regenerating, no sign of forest management.",10,moderate,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR36,NR,55,NA,Low,"",Thinned (1992).,"",55,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Low,Post-fire only
FR37,NR,16,moderate,Low,"","","",16,moderate,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR38,P,15,unburned,low-moderate,Immature forest at time of fire. Harvested (2001).,"Planted (2007), chemical application from air (2016).","",15,unburned,low-moderate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Moderate,Pre + Post fire
FR39,NR,15,moderate,Moderate,"","","RESULTS says planted (2008, 2010) but appears naturally-regenerating, no sign of forest management.",15,moderate,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR40,NR,15,High,low-moderate,"","","RESULTS says manually brushed (2015), planted (2016) but appears naturally-regenerating, no sign of forest management.",15,High,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR41,P,15,moderate,Moderate,"","Planted (2016, 2019)",Underplanted below dead standing.,15,moderate,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Moderate,Post-fire only
FR42,P,60,NA,Moderate,"","Mechanical and burned site prep (1985), planted (1986). ","Most CWD removed, some legacy remains.",60,,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR43,P,33,unburned,Low,"Immature forest at time of fire. Harvested (1985), mechanical site prep (1986).","Mechanical site prep (1991), planted (1991, 1993).","",33,unburned,Low,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,High,Pre + Post fire
FR44,P,33,High,Moderate,"","Harvested (1988), mechanical site prep (1988, 1989), planted (1989, 1994).","",33,High,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR45,NR,59,NA,Low,"","Harvested (1962), burned (1962) and manual (1963) site prep ","",59,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR46,P,59,NA,Low,"","Burned and mechanical site prep (1987), planted and thinned (1988)",Trenched. CWD and stumps removed.,59,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR47,NR,10,moderate,Moderate,"","","",10,moderate,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR48,P,14,High,moderate-high,"",Planted (2012),Underplanted below dead standing.,14,High,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Moderate,Post-fire only
FR49,NR,10,Low,moderate-high,"","",Some trees cut down after fire but not removed.,10,Low,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR50,P,10,unburned,moderate-high,"",Planted (2016),"",10,unburned,moderate-high,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Moderate,Post-fire only
FR51,P,10,moderate,low-moderate,"","Mechanical and burned site prep (2012), planted (2013)","Salvaged.  Piled and burned. Looks like selective harvesting from satellite imagery,",10,moderate,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,High,Post-fire only
FR52,NR,59,NA,low-moderate,"","Harvested and burned site prep (1962), manual site prep (1963).","",59,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR53,P,59,NA,low-moderate,"","Mechanical and burned site prep (1987), planted and thinned (1988).",Most CWD removed.,59,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR54,P,60,NA,Low,"","",CWD removed. Planted in rows. Soils likely disturbed by machinery.,60,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR55,P,60,NA,low-moderate,"","Mechanical site prep (1986, 1990), planted (1986, 1991).","",60,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR56,P,15,High,low-moderate,"",Planted (2011),Underplanted below dead standing.,15,High,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Moderate,Post-fire only
FR57,NR,16,moderate,low-moderate,"","","",16,moderate,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR58,NR,16,High,low-moderate,"","","",16,High,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR59,P,16,moderate,Low,"","Manual site prep (2009), planted (2009, 2018)",Possibly underplanted below dead standing.,16,moderate,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR60,P,16,unburned,Low,"",Planted (2011),Underplanted.,16,unburned,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Moderate,Post-fire only
FR61,NR,38,NA,Low,"",Mechanical and burned site prep (1992),"",38,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR62,P,38,NA,Low,"","Harvested, mechanical and burned site prep (1984), thinned (1998). ",CWD removed. Planted.,38,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR63,P,33,unburned,Low,"","Mechanical site prep (1988), planted (1989, 1990)",CWD removed.,33,unburned,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR64,NR,55,NA,low-moderate,"",Thinned (1992).,"",55,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Low,Post-fire only
FR65,P,60,NA,Low,"","",Stumps and CWD removed. Soils disturbed. Planted.,60,,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR66,NR,60,NA,low-moderate,"","","RESULTS says mechanical site prep (1986, 1990), planted (1986, 1991) but appears naturally-regenerating, no sign of forest management.",60,,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR67,P,60,NA,Moderate,"","",Stumps and CWD removed.,60,,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR68,P,33,High,low-moderate,"","Mechanical site prep (1988), planted (1989, 1990)",Removed some CWD.,33,High,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
FR69,NR,55,NA,Moderate,"",Thinned (1992).,"",55,,Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Low,Post-fire only
FR70,NR,14,moderate,Low,"","","",14,moderate,Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR71,NR,5,unburned,low-moderate,"","","RESULTS says harvested (2019), mechanical site prep (2019), planted (2020) but no evidence of these treatments.",5,unburned,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR72,P,5,Low,Low,"","Harvested (2019), mechanical site prep (2019), planted (2020)",Pile and burned. Major soil disturbance.,5,Low,Low,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,High,Post-fire only
FR73,NR,28,moderate,low-moderate,"","","",28,moderate,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Low,No management
FR74,P,28,moderate,Moderate,Immature forest at time of fire. Harvested (1991).,"Harvested (1994; group selection post-fire salvage). Planted (1998, 2000), chemical application from air (2004).","",28,moderate,Moderate,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,High,Pre + Post fire
FR75,P,28,unburned,low-moderate,"","Harvested (1993), burned and manual site preparation (1993), planted (1995), manual brushing (2006).",Most  CWD removed,28,unburned,low-moderate,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,High,Post-fire only
